Source,Target,Weight
@AllOut,#qatar,1
@AllOut,#lgbt,1
@libsoftiktok,#libsoftiktok,1
@libsoftiktok,#snowflake,1
@libsoftiktok,#tiktok,1
@FoxNews,#satire,1
@FoxNews,#gaylobby,1
@againstgrmrs,#bannedbooksweek,1
@againstgrmrs,#lgbt,1
@againstgrmrs,#librarians,1
@againstgrmrs,#parenting,1
@againstgrmrs,#moms,1
@againstgrmrs,#dads,1
@againstgrmrs,#edchat,1
@againstgrmrs,#bannedbookschat,1
@FoxNews,#lgbt,1
@libsoftiktok,#lgbtqiandwhat,1
@libsoftiktok,#lgbt,1
@libsoftiktok,#lgbtq,1
@libsoftiktok,#lgbtqia,1
@libsoftiktok,#wtf,1
@libsoftiktok,#madeup,1
@LincsPolice,#lgbt,2
