Source,Target,Weight
@tjklune,#tuesdaybookblog,38
@tjklune,#lgbt,38
@tjklune,#fantasy,38
@amusejanetmason,#lgbt,60
@amusejanetmason,#unicorn,36
@amusejanetmason,#mystery,36
@amusejanetmason,#fiction,36
@amusejanetmason,#fantasy,24
@amusejanetmason,#booktwitter,6
@amusejanetmason,#mustread,24
@amusejanetmason,#genders,24
@amusejanetmason,#janetmason,24
@amusejanetmason,#thriller,12
@amusejanetmason,#monk,12
@amusejanetmason,#authorsoftwitter,11
@libsoftiktok,#strawman,1
@Sharinberg,#acab,1
@LincsPolice,#stonewall,1
@LincsPolice,#getstonewalloutofpolicing,1
@LincsPolice,#defundstonewall,1
@Sharinberg,#lgbt,2
@Sharinberg,#black,1
@Sharinberg,#white,1
@Sharinberg,#asian,1
@Sharinberg,#single,1
@Sharinberg,#maried,1
@Sharinberg,#divorced,1
@FoxNews,#january6th,1
@FoxNews,#blm,1
@FoxNews,#lgbt,2
@LincsPolice,#lgbt,1
@libsoftiktok,#edited,1
@libsoftiktok,#superstraight,1
@libsoftiktok,#lgbtq,1
@libsoftiktok,#lgbt,1
@libsoftiktok,#agenda2030,1
@libsoftiktok,#libsoftiktok,1
@libsoftiktok,#shehulk,1
@libsoftiktok,#covid,1
@FoxNews,#lgbtq,1
@FoxNews,#agenda2030,1
@FoxNews,#libsoftiktok,1
@FoxNews,#shehulk,1
@FoxNews,#covid,1
